epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.818,1.20011,2.39901,1.39733,0.70418,0.52986,0.60048,0.43033,1.13826,2.32906,1.28871,0.000660494,0.000660494,0.000660494
2,595.41,1.16269,1.85444,1.35504,0.63172,0.52492,0.56721,0.39435,1.16265,3.15517,1.40416,0.00130088,0.00130088,0.00130088
3,889.498,1.20376,1.71736,1.37773,0.56618,0.45094,0.45762,0.31278,1.32515,3.38925,1.50303,0.00191487,0.00191487,0.00191487
4,1188.54,1.18112,1.60481,1.36749,0.74421,0.53821,0.60268,0.42528,1.16662,1.8835,1.38081,0.0018812,0.0018812,0.0018812
5,1493.28,1.13128,1.53756,1.32995,0.76219,0.53488,0.64086,0.44935,1.15781,1.52165,1.33313,0.0018416,0.0018416,0.0018416
6,1779.69,1.11405,1.44711,1.31638,0.83544,0.53156,0.67515,0.49474,1.02162,1.35629,1.21426,0.001802,0.001802,0.001802
7,2103.77,1.07262,1.40016,1.2897,0.82332,0.58804,0.68297,0.51217,1.01266,1.30626,1.2041,0.0017624,0.0017624,0.0017624
8,2393.36,1.08083,1.34674,1.2916,0.78016,0.61794,0.70371,0.52659,1.00345,1.39345,1.2424,0.0017228,0.0017228,0.0017228
9,2674,1.05015,1.30333,1.25685,0.84087,0.63455,0.73244,0.53662,1.00253,1.24486,1.18036,0.0016832,0.0016832,0.0016832
10,2966.12,0.98086,1.20753,1.21372,0.84749,0.68306,0.76161,0.56711,0.96222,1.11829,1.174,0.0016436,0.0016436,0.0016436
11,3275.97,0.98198,1.19634,1.23007,0.85137,0.55482,0.71731,0.51693,1.0459,1.20726,1.19949,0.001604,0.001604,0.001604
12,3605.42,0.99274,1.19255,1.21865,0.89195,0.64784,0.77432,0.59717,0.97353,1.18096,1.17791,0.0015644,0.0015644,0.0015644
13,3958.07,0.95112,1.11616,1.20852,0.82971,0.70764,0.79008,0.57475,0.98391,1.05967,1.17094,0.0015248,0.0015248,0.0015248
14,4312.35,0.95636,1.13758,1.20278,0.85913,0.72941,0.80642,0.61868,0.90589,0.95225,1.13089,0.0014852,0.0014852,0.0014852
15,4659.48,0.93187,1.09748,1.19204,0.90045,0.72122,0.79905,0.63007,0.86958,1.00006,1.11502,0.0014456,0.0014456,0.0014456
16,5058.19,0.92426,1.08943,1.19146,0.86838,0.74526,0.81433,0.6156,0.93285,1.07174,1.13516,0.001406,0.001406,0.001406
17,5419.96,0.89739,1.01784,1.15905,0.88079,0.701,0.82195,0.63428,0.88351,0.93909,1.10993,0.0013664,0.0013664,0.0013664
18,5707.66,0.91015,1.04507,1.17702,0.90485,0.72669,0.82147,0.64078,0.87589,0.92552,1.10464,0.0013268,0.0013268,0.0013268
19,6001.27,0.87391,0.97626,1.15444,0.92339,0.73422,0.82831,0.65077,0.88914,0.88659,1.10158,0.0012872,0.0012872,0.0012872
20,6285.51,0.88579,1.01456,1.15891,0.90882,0.69435,0.79595,0.60662,0.88846,0.96241,1.11283,0.0012476,0.0012476,0.0012476
21,6578.47,0.86682,0.96649,1.15273,0.90349,0.75415,0.82267,0.64455,0.89202,0.89194,1.10915,0.001208,0.001208,0.001208
22,6867.48,0.86915,0.95845,1.15007,0.89528,0.72093,0.83017,0.65419,0.86675,0.85532,1.08247,0.0011684,0.0011684,0.0011684
23,7152.93,0.8672,0.93903,1.14069,0.86257,0.73754,0.82283,0.63788,0.89772,0.91382,1.10789,0.0011288,0.0011288,0.0011288
24,10479.6,0.82052,0.90128,1.11853,0.91562,0.72098,0.83169,0.64665,0.84834,0.87102,1.09161,0.0010892,0.0010892,0.0010892
25,10759.1,0.81398,0.87941,1.1231,0.92234,0.74974,0.84423,0.68165,0.81352,0.83837,1.0681,0.0010496,0.0010496,0.0010496
26,11053,0.81017,0.85031,1.10857,0.91901,0.76412,0.84754,0.68313,0.79076,0.78912,1.05912,0.00101,0.00101,0.00101
27,11346.8,0.80499,0.84165,1.10375,0.89653,0.77741,0.86136,0.69445,0.79565,0.75787,1.04742,0.0009704,0.0009704,0.0009704
28,11635.7,0.78276,0.81097,1.09573,0.90659,0.80612,0.86295,0.6905,0.85682,0.77943,1.07631,0.0009308,0.0009308,0.0009308
29,11915.7,0.79065,0.82359,1.10242,0.90428,0.77741,0.85088,0.67268,0.81782,0.78893,1.04914,0.0008912,0.0008912,0.0008912
30,12209.3,0.78298,0.80909,1.0897,0.92379,0.76519,0.84866,0.68231,0.80332,0.76051,1.05447,0.0008516,0.0008516,0.0008516
31,12502.6,0.77117,0.78106,1.08813,0.86609,0.79734,0.8594,0.70343,0.78106,0.71151,1.04564,0.000812,0.000812,0.000812
32,12796.5,0.77613,0.78134,1.09078,0.95924,0.75748,0.87701,0.71819,0.75416,0.67589,1.01175,0.0007724,0.0007724,0.0007724
33,13092.1,0.77259,0.76068,1.08294,0.93473,0.7613,0.85203,0.68714,0.78601,0.76682,1.05149,0.0007328,0.0007328,0.0007328
34,13369.1,0.75944,0.74961,1.07663,0.9309,0.76082,0.87136,0.6939,0.79572,0.73579,1.05163,0.0006932,0.0006932,0.0006932
35,13664.1,0.76255,0.75,1.07664,0.95807,0.78738,0.87837,0.71538,0.7907,0.68571,1.04436,0.0006536,0.0006536,0.0006536
36,13959.1,0.73006,0.69229,1.05164,0.93642,0.78286,0.865,0.70743,0.75114,0.73356,1.01617,0.000614,0.000614,0.000614
37,14254.6,0.74406,0.73087,1.07585,0.91997,0.80399,0.87654,0.72222,0.75874,0.67672,1.02748,0.0005744,0.0005744,0.0005744
38,14549.6,0.73765,0.70412,1.06469,0.90036,0.81054,0.87868,0.71654,0.75815,0.66629,1.02307,0.0005348,0.0005348,0.0005348
39,14842.9,0.72456,0.6741,1.04906,0.94581,0.78405,0.87041,0.70803,0.749,0.67407,1.01834,0.0004952,0.0004952,0.0004952
40,15138,0.73042,0.69211,1.06055,0.947,0.80066,0.88425,0.72818,0.74656,0.65577,1.019,0.0004556,0.0004556,0.0004556
41,15423,0.6645,0.56266,1.021,0.95308,0.80976,0.89657,0.73179,0.74689,0.63324,1.01665,0.000416,0.000416,0.000416
42,15708.5,0.62887,0.51187,1.01159,0.9309,0.8206,0.89224,0.73665,0.7309,0.6278,1.00609,0.0003764,0.0003764,0.0003764
43,15998.4,0.63197,0.49554,1.00936,0.95998,0.7907,0.89237,0.74082,0.73305,0.63651,0.99904,0.0003368,0.0003368,0.0003368
44,16288.2,0.6085,0.46807,0.99668,0.94771,0.78284,0.8835,0.72912,0.75113,0.64175,1.01721,0.0002972,0.0002972,0.0002972
45,16578.5,0.59583,0.45749,0.98695,0.92466,0.81547,0.87844,0.73217,0.74246,0.65027,1.011,0.0002576,0.0002576,0.0002576
46,16868.5,0.58907,0.44093,0.97778,0.91304,0.83716,0.88904,0.72966,0.73899,0.60586,1.00617,0.000218,0.000218,0.000218
47,17159.1,0.58553,0.4261,0.97354,0.92346,0.82724,0.88533,0.73781,0.72873,0.61508,1.0061,0.0001784,0.0001784,0.0001784
48,17449.9,0.56264,0.42281,0.96561,0.93345,0.83056,0.88351,0.73594,0.73324,0.63022,1.01333,0.0001388,0.0001388,0.0001388
49,17740.4,0.56583,0.41963,0.96231,0.96016,0.81395,0.88714,0.73884,0.7352,0.61372,1.00813,9.92e-05,9.92e-05,9.92e-05
50,18031.6,0.55625,0.39993,0.96196,0.91355,0.84053,0.88927,0.7382,0.74092,0.62127,1.01934,5.96e-05,5.96e-05,5.96e-05
