epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.504,0.62375,2.88578,1.03112,0,0,0,0,2.44468,5.25883,2.55618,0.000363475,0.000363475,0.000363475
2,417.447,0.5761,1.94373,0.98197,0.00103,0.12252,0.00932,0.00243,2.38365,4.93063,2.49345,0.000719279,0.000719279,0.000719279
3,731.055,0.59451,1.67039,0.99928,0.00226,0.2443,0.00806,0.00214,2.84555,4.92361,2.67396,0.00106042,0.00106042,0.00106042
4,1043.28,0.58377,1.47317,0.97061,0.87127,0.0625,0.05771,0.02814,2.40934,4.18566,2.28422,0.00104501,0.00104501,0.00104501
5,1359.7,0.57588,1.32638,0.97273,0.6047,0.01562,0.01618,0.00579,2.63349,4.47734,2.5407,0.00102301,0.00102301,0.00102301
6,1582.47,0.56606,1.26929,0.97549,0.0013,0.19296,0.00171,0.00053,2.42782,4.59658,2.39584,0.00100101,0.00100101,0.00100101
7,1722.51,0.54619,1.09484,0.96078,0.84172,0.03125,0.0359,0.00915,2.51441,4.30368,2.20811,0.000979013,0.000979013,0.000979013
8,1862.92,0.55157,1.05203,0.97738,0.00517,0.2433,0.01691,0.00583,2.70041,4.36924,2.38089,0.000957015,0.000957015,0.000957015
9,2001.78,0.52476,0.96396,0.95603,0.00676,0.35094,0.02274,0.01139,2.49294,4.37371,2.29189,0.000935018,0.000935018,0.000935018
10,2141.75,0.49738,0.94377,0.94624,0.8652,0.0625,0.10773,0.04175,2.51954,3.91236,2.24907,0.00091302,0.00091302,0.00091302
11,2282.79,0.4805,0.86916,0.94675,0.32495,0.0625,0.04398,0.01835,2.61008,4.20436,2.37264,0.000891022,0.000891022,0.000891022
12,2422.96,0.51846,0.94093,0.96504,0.00831,0.22396,0.01764,0.0048,2.5717,4.41053,2.32896,0.000869024,0.000869024,0.000869024
13,2563.32,0.4583,0.81914,0.93093,0.08083,0.13715,0.03336,0.01458,2.46931,4.2737,2.15739,0.000847026,0.000847026,0.000847026
14,2704.35,0.48084,0.82179,0.94146,0.01801,0.19271,0.0226,0.00777,2.55893,4.38273,2.26933,0.000825029,0.000825029,0.000825029
15,2844.84,0.47251,0.74803,0.94465,0.01942,0.20833,0.05543,0.02941,2.69773,4.31576,2.49335,0.000803031,0.000803031,0.000803031
16,2986,0.43949,0.7247,0.94026,0.02639,0.20833,0.05457,0.02749,2.40631,4.51798,2.26144,0.000781033,0.000781033,0.000781033
17,3146,0.44353,0.78069,0.92457,0.00844,0.27951,0.02799,0.00932,2.53847,4.22711,2.236,0.000759035,0.000759035,0.000759035
18,3372.39,0.44888,0.71249,0.93767,0.0187,0.22396,0.06942,0.02832,2.46497,4.2409,2.17606,0.000737037,0.000737037,0.000737037
19,3552.66,0.45618,0.75314,0.9468,0.02943,0.22396,0.15482,0.07529,2.40988,4.42065,2.21307,0.00071504,0.00071504,0.00071504
20,3690.67,0.43484,0.66982,0.92977,0.56729,0.0625,0.04406,0.01774,2.58768,4.46212,2.3319,0.000693042,0.000693042,0.000693042
21,3815.45,0.43309,0.62891,0.9354,0.03333,0.10938,0.03842,0.02092,2.65927,4.7107,2.30128,0.000671044,0.000671044,0.000671044
22,3934.38,0.4288,0.68336,0.93149,0.33619,0.125,0.05297,0.01785,2.70167,3.90543,2.39417,0.000649046,0.000649046,0.000649046
23,4069.72,0.44182,0.64367,0.93666,0.78825,0.0625,0.07472,0.03836,2.60262,4.83426,2.39818,0.000627048,0.000627048,0.000627048
